ATT.COM

                         A      144.160.155.43
                         A      144.160.36.42
202020                   A      144.160.219.116
aa01.acss                A      144.160.252.33
aa02.acss                A      144.160.252.34
aa2.acss                 A      144.160.252.35
aavs-east.gw.cloud       A      172.203.5.68
aavs-onbd-east.nprd-gw.cloud  A      172.203.78.40
aavs-west.gw.cloud       A      4.246.52.229
ab01.acss                A      144.160.252.36
ab02.acss                A      144.160.252.37
abbottvideo              A      206.16.148.7
acedesktop               A      12.43.0.36
acm.teleconference       A      144.160.233.96
acms.onbd.nprd-gw.cloud  A      48.214.85.85
acumosr-gateway.research  A      204.178.3.44
adhoc.airs               A      63.240.117.218
admin.mas                A      65.55.88.72
admin1-awem              A      216.77.188.117
adw01-dev1-corpfin.us-phoenix-1.oci.cloud  A      144.24.18.123
adw01-dev2-corpfin.us-phoenix-1.oci.cloud  A      141.148.151.176
adw01-dev3-corpfin.us-phoenix-1.oci.cloud  A      144.24.37.101
adw01-dev5-corpfin.us-phoenix-1.oci.cloud  A      144.24.14.216
adw01-prod-corpfin.oci.cloud  A      132.226.125.45
adw01-prod-corpfin.us-phoenix-1.oci.cloud  A      144.24.53.93
adw01-test-corpfin.oci.cloud  A      129.146.199.10
ae03.acss                A      144.160.252.39
ae04.acss                A      144.160.252.40
ae07.acss                A      144.160.252.43
aeg.acss                 A      144.160.253.47
aemazure.az.cloud        A      20.69.209.104
aemazuredev.az.cloud     A      20.65.26.203
aemazurefs.az.cloud      A      52.167.12.148
aemazureps.az.cloud      A      20.69.214.9
aemazuretest.az.cloud    A      52.179.219.36
agsdesktop               A      144.161.113.33
aio-dev.stage            A      65.83.225.146
aio.stage                A      216.77.188.113
aioadmin-dev.stage       A      65.83.225.145
aiobrand                 A      144.160.154.234
akamaioic01-dev6-corpfin.oci.cloud  A      147.224.245.50
akamaioic01-prod-corpfin.oci.cloud  A      161.153.121.208
akamaioic01-test-corpfin.oci.cloud  A      129.153.109.223
akamaiords01-prod-corpfin.oci.cloud  A      129.153.220.114
akamaiords01-test-corpfin.oci.cloud  A      132.226.77.180
allenmediation1.uccentral  A      135.28.203.64
allenmeeting             A      63.241.242.99
almdmcim.dp              A      144.161.109.36
almdmex.dp               A      144.161.96.144
almi02.dp                A      144.161.109.52
almi03.dp                A      144.161.109.44
almi04.dp                A      144.161.96.33
alnscmintegration        A      135.209.168.250
alpha.wireless           A      12.18.193.4
alpharetta-jda-collab    A      144.160.241.148
alpv1208.stage           A      144.161.99.159
altx1.uccentral          A      63.241.194.78
altx2.uccentral          A      63.241.194.73
altx3.uccentral          A      63.241.194.74
altx4.uccentral          A      63.241.194.76
