206.168.142.132	1029	206-168-142-132.att.com	AT&T Corp.	AS7018				407 Proxy Authentication Required	
144.160.194.184	443	enterprise-access.stage.att.com;enterprise-login.stage.att.com;enterprise-access-dev.stage.att.com	AT&T Services, Inc.	AS797				Request Rejected	
144.160.29.42	443	cpsosasos-asi.att.com;cpsosasos.asi.sbc.com;cpsosasos-tmp.asi.sbc.com	AT&T Services, Inc.	AS797				Request Rejected	
144.160.107.201	443	waftestebiznet.att.com	AT&T Services, Inc.	AS797				Request Rejected	
32.64.160.23	443	VDEFRAA3.att.com;vdefraa3.attglobal.net	AT&T Enterprises, LLC	AS2686					
144.160.219.95	443	etrak.att.com	AT&T Services, Inc.	AS797					
144.160.219.85	443	b2b.att.com;b2bag.att.com;b2bsae.att.com;b2bsde.att.com;b2bage.att.com;b2bsa.att.com;b2bsd.att.com;b2be.att.com	AT&T Services, Inc.	AS797				Request Rejected	
104.83.115.131	443	testaz.copyright.att.net;api.ato.cloud.att.com;mail-gaalpa1msl.exch.att.com;r-tst1.test-e.att.com;copyrightnew.stage.att.net;autodiscover.atttest.com;idprep-mpie.test-e.att.com;idp-mpie.test-e.att.com;failover-finalstage.att.com;cd.ato.cloud.att.com;dmp.test-e.att.com;pre-fs.att.com;bcmock.stage-e.att.com;secure-az-qc-test-e.cloud.att.com;stageaz-copyright.stage.att.net;biz-tst3.test-e.att.com;oidc.stage.blogin.att.com;mascert-nprd-eh-01.att.com;hdr3-oidc.test.att.com;m.stage.att.com;abshdr.test.att.com;review.attbelieves.com;idprep-fie.test-e.att.com;akastage-finalstage.att.com;bcst4.test.att.com;biz-tst1.test-e.att.com;a104-83-115-131.deploy.static.akamaitechnologies.com;brandcenter.test.att.com;lgw-dev-az.test.att.com;abshdr2.test.att.com;idpb2b-mpie.test-e.att.com;finalstage.att.com;bcuat2.stage-e.att.com;test6.att.com;tacs-ingress-test.att.com;troubleshoot-test2.test.att.com;csdktv.test.att.com;hdr-oidc.test.att.com;copyrightcms.stage.att.net;r-tst3.test-e.att.com;lgw-nprod-perf-az.test.att.com;aem-business.test-e.att.com;r-tst4.test-e.att.com;failover-fs.att.com;utf.stage.clogin.att.com;troubleshoot-test3.test.att.com;pre-finalstage.att.com;idc.test.att.com;akastage-identity.atttest.com;lgw-nprod-uat-az.test.att.com;idpb2b-fie.test-e.att.com;portal.ato.cloud.att.com;identity.atttest.com;boauthaccess.test.att.com;hdr2-oidc.test.att.com;r-tst2.test-e.att.com;biz-tst2.test-e.att.com;copyright-azeast.stage.att.net;dtv-auth.test.att.com;mail-cafrfd1msl.exch.att.com;aem-firstnet.test-e.att.com;in.ato.cloud.att.com;aem-preprodbusiness.test-e.att.com;bcuat4.stage-e.att.com;best-az.test.att.com;pre-brandcenter.test.att.com;bcuat3.stage-e.att.com;cdi.web.att.com;bcuat1.stage-e.att.com;idp-fie.test-e.att.com;tst.stage.att.com;globalsupplychain.test.att.com;premier.test.att.com;secure-az-stage-e.cloud.att.com;test2.att.com;utf.test.clogin.att.com;services-finalstage.att.com;test5.att.com;lgw-nprod-az.test.att.com;test3.att.com;fs.att.com;api-test-dmp.wireless.att.com;stageaz-copyright.att.net	Akamai International, BV	AS16625	AkamaiGHost			Invalid URL	
144.160.29.235	443	p0csintegration-waf.att.com	AT&T Services, Inc.	AS797					
89.19.208.192	443	www.googletagmanager.com;service.urchin.com;region1.analytics.google.com;region1.google-analytics.com;region1.analytics.app-measurement.com;region1.app-analytics-services.com;region1.att.app-measurement.com;googletagmanager.com;region1.app-analytics-services-att.com;analytics.app-measurement.com;urchin.com;vds-cx18637.timeweb.ru;googleoptimize.com;att.app-measurement.com;app-measurement.com;fps.goog;www.googleoptimize.com;app-analytics-services-att.com;app-analytics-services.com;ssl.google-analytics.com;region1.app-measurement.com;www.google-analytics.com;google-analytics.com	TimeWeb Ltd.	AS9123				301 Moved	
144.160.107.152	443	dbactmgr.att.com	AT&T Services, Inc.	AS797					
144.160.155.43	443	att.net;att.com	AT&T Services, Inc.	AS797					
159.60.154.209	443	att.mx;www.att.mx;att.com.mx;www.att.com.mx	F5 Distributed cloud services 1	AS35280	AstrBot			Error Page	
144.160.219.197	443	nfsdportal.att.com	AT&T Services, Inc.	AS797					
144.160.219.199	443	nextgems.att.com	AT&T Services, Inc.	AS797					
144.160.219.210	443	captionconductor-mp.att.com	AT&T Services, Inc.	AS797					
144.160.219.80	443	b2bsdcct.atttest.com;b2bsaccte.atttest.com;b2b.test.att.com;b2bsacct.atttest.com;b2bsdccte.atttest.com;b2be.test.att.com	AT&T Services, Inc.	AS797				Request Rejected	
